Age,Severity: Fatal (Male),Severity: Fatal (Female),Severity: Serious (Male),Severity: Serious (Female),Severity: Serious (Unknown sex),Severity: Slight (Male),Severity: Slight (Female),Severity: Slight (Unknown sex),Severity: All (Male),Severity: All (Female),Severity: All (Unknown sex),All
Under 5 ,0,0,0,0,0,3,1,0,3,1,0,4
5 - 9,0,0,0,0,0,38,14,0,38,14,0,52
10 - 14,0,0,3,1,0,155,21,0,158,22,0,180
15 - 19,0,0,7,0,0,206,26,0,213,26,0,239
20 - 24,0,0,4,0,0,112,33,0,116,33,0,149
25 - 29 ,0,0,6,1,0,90,32,0,96,33,0,129
30 - 34 ,0,0,6,4,0,84,37,0,90,41,0,131
35 - 39 ,0,0,11,0,0,91,31,0,102,31,0,133
40 - 44 ,0,0,7,2,0,130,42,0,137,44,0,181
45 - 49 ,0,0,8,3,0,88,31,0,96,34,0,130
50 - 54 ,3,0,14,4,0,96,44,0,113,48,0,161
55 - 59,0,0,7,2,0,98,38,0,105,40,0,145
60 - 64,1,0,4,1,0,113,40,0,118,41,0,159
65 - 69 ,0,0,3,4,0,80,22,0,83,26,0,109
70 - 74 ,0,1,2,1,0,50,6,0,52,8,0,60
75 - 79 ,2,0,2,2,0,26,2,0,30,4,0,34
80 - 84,0,0,0,0,0,12,0,0,12,0,0,12
85 & over,0,0,0,0,0,6,0,0,6,0,0,6
Unknown,0,0,2,0,3,47,12,51,49,12,54,115
All,6,1,86,25,3,1525,432,51,1617,458,54,2129
